attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,total_duration,total_length,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00033,dep,1,WALK,2.39099,30.23333333333333,BUS,16.10662,25.0,WALK,0.76173,9.833333333333334,RAIL,91.34113,68.0,WALK,0.2214799999999999,3.0166666666666666,RAIL,32.07784,19.0,WALK,0.45775,6.15,BUS,9.7371,17.0,WALK,1.77009,22.8,,,,,,,,,,,,,201.03333333333336,154.86473,0.0,1691.1951,0.0,3744.98633,0.0,1315.19144,0.0,1022.3955,0.0,0.0,0.0,0.0,0.0,7773.768370000001,0.0,3.221324,0.0,13.7011695,0.0,4.811676,0.0,1.9474200000000002,0.0,0.0,0.0,0.0,0.0,23.6815895
A00034,dep,1,BICYCLE,23.5776,82.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.43333333333334,23.5776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00035,dep,1,WALK,5.89575,75.86666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.86666666666666,5.89575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00036,dep,1,BICYCLE,16.12498,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,16.12498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00037,dep,1,WALK,13.71677,175.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.65,13.71677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00038,dep,1,WALK,13.39448,170.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.15,13.39448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00039,dep,1,CAR,159.29694,104.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.15,159.29694,30585.01248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30585.01248,67.7011995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.7011995
A00040,dep,1,BICYCLE,26.09859,90.96666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.96666666666668,26.09859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00041,dep,1,CAR,253.85691,159.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.95,253.85691,48740.52672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48740.52672,107.88918675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.88918675
A00042,dep,1,BICYCLE,18.48079,66.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.45,18.48079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
