road,direction,mode,total_uses,00:00–01:00,01:00–02:00,02:00–03:00,03:00–04:00,04:00–05:00,05:00–06:00,06:00–07:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Fellenoordpad,departure,BICYCLE,1211,0,0,0,0,0,0,0,0,0,2,15,37,119,257,232,168,154,99,47,60,21,0,0,0
A58,return,CAR,1210,399,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,565
E312,return,CAR,1210,399,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,565
Tilburgseweg,departure,CAR,1206,0,0,0,0,0,0,0,0,0,0,0,1,28,164,281,236,176,116,80,68,47,9,0,0
E312,departure,CAR,1202,0,0,0,0,0,0,0,0,0,0,1,22,113,206,256,199,163,107,59,52,23,1,0,0
A58,departure,CAR,1202,0,0,0,0,0,0,0,0,0,0,1,22,113,206,256,199,163,107,59,52,23,1,0,0
Ring Almere,return,CAR,1187,397,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,563
A7,departure,CAR,1181,0,0,0,0,0,0,0,0,0,0,29,147,250,268,161,127,78,55,57,9,0,0,0,0
A6,return,CAR,1180,394,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,557
Kanaalstraat,return,BICYCLE,1167,422,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,506
Ring Eindhoven,return,CAR,1164,382,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,543
Ring Almere,departure,CAR,1162,0,0,0,0,0,0,0,0,0,0,20,126,243,247,174,137,76,62,65,12,0,0,0,0
