road,direction,mode,total_uses,00:00–01:00,01:00–02:00,03:00–04:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Spoordonkseweg,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Kempenweg,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Keizerweg,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Oude Grintweg,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
De Rijt,return,BICYCLE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
A7,departure,CAR,20,0,0,0,0,0,0,0,4,1,3,2,4,2,1,3,0,0,0,0,0
Dijkpad,return,BICYCLE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Heersdijk,return,BICYCLE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Kempenweg,return,BICYCLE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Spoordonkseweg,return,BICYCLE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Kruisboog,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Postkoetsweg,departure,CAR,19,0,0,0,0,0,0,0,0,1,1,6,2,1,4,3,1,0,0,0,0
A16,departure,CAR,19,0,0,0,0,0,0,0,0,2,2,5,3,1,1,0,3,2,0,0,0
Sonseweg,departure,BICYCLE,19,0,0,0,0,0,0,1,5,5,2,2,2,1,1,0,0,0,0,0,0
Kanaaldijk-Zuid,departure,BICYCLE,19,0,0,0,0,0,0,0,2,1,6,3,2,2,2,1,0,0,0,0,0
A12,departure,CAR,19,0,0,0,0,0,0,0,2,2,6,3,2,3,1,0,0,0,0,0,0
E19,departure,CAR,19,0,0,0,0,0,0,0,0,2,2,5,3,1,1,0,3,2,0,0,0
Kruisstraat,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Boschdijk,return,WALK,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Doctor Berlagelaan,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Vestdijktunnel,departure,BICYCLE,18,0,0,0,0,0,0,0,2,1,6,2,2,2,2,1,0,0,0,0,0
Eisenhowerlaan,departure,CAR,18,0,0,0,0,0,0,0,0,0,2,4,4,2,2,0,1,3,0,0,0
Kloosterdreef,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Oude Bossche Baan,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Fellenoordpad,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Vestdijk,departure,BICYCLE,18,0,0,0,0,0,0,0,2,1,6,2,2,2,2,1,0,0,0,0,0
Oude Rijksweg,departure,BICYCLE,18,0,0,0,0,0,0,1,5,5,1,2,2,1,1,0,0,0,0,0,0
Woenselse Markt,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
A67,return,CAR,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Kruisstraattunnel,return,BICYCLE,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
E34,return,CAR,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Oude Rijksweg,return,BICYCLE,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Esscheweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
De la Salle woongroep Linde,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Schuttershof,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Munsel,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Vleutstraat,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Barrierweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Selissen,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Sint-Oedenrodeseweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
De Ketting,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
A12,return,CAR,17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Weikespad,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Dazingstraat,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Hooiweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Hamsestraat,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Ringweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
De Doelen,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
De Schutsboom,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Eindhovenseweg,return,CAR,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Kanterseveldenweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Eindhovenseweg-Zuid,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
N.C.B.-weg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
A67,departure,CAR,17,0,0,0,0,0,0,0,0,1,1,6,2,0,3,3,1,0,0,0,0
Munselse Hoeve,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Koppelstraat,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
E34,departure,CAR,17,0,0,0,0,0,0,0,0,1,1,6,2,0,3,3,1,0,0,0,0
Schansweg,return,BICYCLE,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Eindhovenseweg,departure,CAR,17,0,0,0,0,0,0,0,0,1,2,5,2,0,1,3,3,0,0,0,0
Boslaan-Zuid,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Hamsestraat,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Vleutstraat,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Ringweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Sint-Oedenrodeseweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Oude Sonsedijk,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Koppelstraat,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Hogekampenweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Schansweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Brederodeweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Esscheweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Hooiweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Kanterseveldenweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Dazingstraat,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Barrierweg,departure,BICYCLE,17,0,0,0,0,0,0,1,4,5,1,2,2,1,1,0,0,0,0,0,0
Ekkersrijt,return,WALK,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Kanaaldijk Zuid,return,WALK,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Tilburgseweg,departure,BICYCLE,16,0,0,0,0,0,0,1,0,1,4,6,2,2,0,0,0,0,0,0,0
Tilburgseweg,return,BICYCLE,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
