road,direction,mode,total_uses,00:00–01:00,01:00–02:00,03:00–04:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Fransebaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bommelskoussedijk,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scheidweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijerlandschedijk,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middelsluissedijk Westzijde,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wierdenseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hexelseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dennenweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Groene Kruisweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N487,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerkakkers,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Christinastraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Margrietstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brinkgreverweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zutphenseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hanzeweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Neulemansweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Horstweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Henri Dunantlaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Broeklanderweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amstellaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zeijerstroeten,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Engelandlaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N662,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ritthemsestraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakertplein,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N348,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Weseper Rondweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tempellaan,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buitendreef,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secretaris van Rooijstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
St.-Elisabethstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dokter Hillenlaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grote Gent,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Keuterstraatje,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blaakweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rillaersebaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heijcopperkade,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A.C. Verhoefweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barnsteendrift,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Doctor Ingenieur L.G.H. Fortuijnrotonde,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaagjesland,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvoordeweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N35,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Boerweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rondweg Wierden,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Loonderesweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Daarleseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nijverdalsestraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rotonde Rhee,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oude Norgerweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ubbenaseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peelo,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lekkerkerkse Kerkweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noord Brabantlaan,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hurksestraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mispelhoefstraat,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oirschotsedijk,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wageningse Afweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nude,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aan de Rijn,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grebbedijk,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulst,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loskade,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batauweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nedereindseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wijkerslootweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ringkade,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heemraadsweide,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Raamsweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noord Esweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnelweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliasstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N324,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Doctor J. Rupkerotonde,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reeuwijkse Randweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goudsestraatweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middelburgseweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorpsweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oud Reeuwijkseweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horster-Zoomweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horster-Engweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buitenbrinkweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudelandseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Westeinde,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Linie,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkerstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Langgewenst,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Emmastraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Schapenkamp,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soestdijkerstraatweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ertveldweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orthen,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Magistratenlaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nelson Mandela-laan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Geerhard Boschstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oude Deventerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathemerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poggebeltweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poggenbeltweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luttenbergerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zilverbekendijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hoeveweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Klompssteeg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Barloseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Buddinkdijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aladnaweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Veenweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Battenoordsedijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bijsterhuizen 30e straat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heumenseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bijsterhuizen,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Graafseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Palkerplein,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
de Hooge Akker,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oosterhoutsestraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rietgraafsingel,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasthuisstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assenburgweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Europaweg Oost,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Europaweg Zuid,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Albaniëweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyprusweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Achterduinweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Slangenburgweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plakdijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Naarderstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Achterom,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
de Steeg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Meenseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Markerinkdijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
de Riette,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lichtenvoordsestraatweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kunderkampstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winthagerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoolstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergseweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op gen Hek,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beersdalweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putterweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominee Theodor Fliednerstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lochemseweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veldhofstraat,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudelandsedijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
De Grevelingen,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lekdijk West,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zijdeweg-Zuid,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dardanellenstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
De Slag,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
De Staart,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oude Wildervanksterweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verkeersplein Gieten,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brink,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oelenboom,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spekstoep,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vondelstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zuiderparkweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EuroVelo 2 - Nederland part 2,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midden-Nederlandroute - 05 - Amerongen - Arnhem,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterliniedok,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IJzevoordseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Halle-Nijmanweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bedrijvenweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joppelaan,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dortherdijk,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuenderbeekselaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Papenvoortse Heide,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
't Pluuke,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Prinsenweier,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hongarije,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Laan van Nuenhem,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
's-Gravenpolderseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mercatorplein,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nansenbaan,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noordhoekweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kloetingseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Goesestraatweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cornelis Kuinweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oostelijke Randweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gerrit de Vriesweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kadijkweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grootslagweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Markerwaardweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Drechterlandseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peelweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rotonde Donk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lanterdweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Roland,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burgemeester de Beaufortplein,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Prinses Beatrixstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N755,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grotestraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rouwhorsterdijk,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japikweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manschotterweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avignonlaan,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sibculoseweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breeslootdijk,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
't Lijntje,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N343,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verlengde Broekdijk,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kloosterstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meilandsedijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Netterdseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oud Arnhemseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N335,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beekseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Walburgisplein,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Papenkampseweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burgemeester van Breemenweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N816,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Traverse,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noordschans,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weg naar Bakel,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N279,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkendonk,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kloosterdijk,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rauwbloksweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kanaalweg-Oost,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alteveer,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Schutstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zuiderweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zuidwoldigerweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carstenstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alteveerstraat,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tarasconweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Havre,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vuurtorenweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Loenenseweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwadijkerweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Purmerenderweg,return,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plakkenweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorchter Enkweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Losweg,return,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verlengde Noordenveldweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eekhoornstraat,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norgerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vriezerweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noordenveldweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandelandenweg,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velddreef,return,CAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
