road,total_uses,00:00–01:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Ekkersweijer,361,1,16,98,66,44,68,21,23,8,14,2,0
A50,270,0,0,144,26,10,60,0,30,0,0,0,0
E25,225,0,0,25,70,26,54,10,30,10,0,0,0
A2,209,0,0,29,62,20,44,10,34,10,0,0,0
Terraweg,180,2,16,52,36,19,26,8,9,2,6,4,0
Eindhovenseweg-Zuid,162,3,2,31,46,13,34,6,15,4,2,6,0
Ring 's-Hertogenbosch,101,0,0,15,26,12,24,0,18,6,0,0,0
N.C.B.-weg,80,0,2,38,8,2,24,0,6,0,0,0,0
A27,71,0,2,27,0,2,18,0,22,0,0,0,0
Kanaaldijk,64,1,2,27,8,9,12,0,3,0,0,2,0
Rijksweg,62,0,2,20,10,4,16,0,8,2,0,0,0
Rondje Eindhoven - Hoofdroute,62,0,0,22,2,10,14,10,2,2,0,0,0
E31,61,0,0,25,2,11,10,0,3,10,0,0,0
Kanaaldijk Noord,59,0,0,27,16,3,10,0,3,0,0,0,0
E30,57,0,0,19,10,4,16,0,8,0,0,0,0
Delhuijzenweg,50,0,0,26,4,2,12,0,6,0,0,0,0
Welschappad,50,0,8,32,0,0,0,8,0,0,2,0,0
A58,50,0,16,4,8,22,0,0,0,0,0,0,0
E312,50,0,16,4,8,22,0,0,0,0,0,0,0
Bataweg,48,0,6,22,6,6,0,4,0,0,4,0,0
A59,45,0,12,5,8,4,8,0,6,2,0,0,0
Bestseweg,43,0,0,21,4,3,12,0,3,0,0,0,0
Boxtelseweg,39,0,4,5,10,4,8,0,6,2,0,0,0
Hoberglaan,37,0,0,19,4,1,10,0,3,0,0,0,0
Dassenbaan,35,0,0,19,4,1,8,0,3,0,0,0,0
de Dieze,34,0,6,14,4,6,0,2,0,0,2,0,0
Kruisstraattunnel,32,0,0,8,0,8,8,4,4,0,0,0,0
Kanaaldijk Zuid,32,0,0,8,12,10,0,1,1,0,0,0,0
Oude Bossche Baan,32,0,0,10,2,6,8,4,2,0,0,0,0
Europaweg,31,0,0,17,2,3,6,0,3,0,0,0,0
Provincialeweg,31,0,6,4,10,1,10,0,0,0,0,0,0
Ring Utrecht,30,0,0,12,0,0,8,0,10,0,0,0,0
Boschdijk,30,0,0,2,10,4,6,4,0,2,2,0,0
Flight Forum,30,0,0,24,0,0,0,6,0,0,0,0,0
Kronehoefstraat,28,0,0,6,2,8,4,2,4,0,2,0,0
A15,28,0,0,6,0,10,2,0,0,10,0,0,0
A6,28,0,0,12,0,0,8,0,8,0,0,0,0
Insulindelaan,26,0,0,6,4,4,6,2,0,0,4,0,0
A1,26,0,0,16,0,0,10,0,0,0,0,0,0
E22,26,0,0,16,0,0,0,0,10,0,0,0,0
Kanaalstraat,26,0,0,6,4,4,8,4,0,0,0,0,0
Slenkweg,25,0,0,13,2,1,6,0,3,0,0,0,0
Unknown,25,1,0,1,6,2,4,3,1,3,1,3,0
E311,25,0,0,9,0,0,6,0,10,0,0,0,0
N317,24,0,0,12,0,0,12,0,0,0,0,0,0
Kloosterdreef,24,0,0,8,0,6,4,2,4,0,0,0,0
Cotentinlaan,24,0,0,12,4,4,0,0,4,0,0,0,0
Tilburgseweg,24,0,0,8,2,10,2,2,0,0,0,0,0
A7,22,0,0,14,0,0,0,0,8,0,0,0,0
Doctor Berlagelaan,20,0,0,6,2,4,4,2,2,0,0,0,0
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,20,0,2,6,4,8,0,0,0,0,0,0,0
EuroVelo 4 - Centraal-Europaroute - deel Nederland,20,0,2,6,4,8,0,0,0,0,0,0,0
Ekkersrijt,20,0,0,4,4,6,0,4,2,0,0,0,0
Fransebaan,20,0,0,6,6,2,0,0,2,4,0,0,0
N215,18,0,18,0,0,0,0,0,0,0,0,0,0
Onze Lieve Vrouwestraat,18,0,0,4,2,4,4,2,0,0,2,0,0
Europalaan,18,0,0,6,0,4,4,2,2,0,0,0,0
Kempenweg,18,0,0,12,0,6,0,0,0,0,0,0,0
A12,18,0,0,2,8,4,4,0,0,0,0,0,0
A28,17,0,0,7,2,1,0,0,7,0,0,0,0
Woenselse Markt,16,0,0,4,0,4,4,2,2,0,0,0,0
Velperbroekcircuit,16,0,0,12,0,0,4,0,0,0,0,0,0
E19,16,0,10,0,2,4,0,0,0,0,0,0,0
Raadhuisstraat,16,0,0,4,8,4,0,0,0,0,0,0,0
Pastoriestraat,16,0,0,2,2,4,4,2,0,0,2,0,0
Kruisstraat,16,0,0,4,0,4,4,2,2,0,0,0,0
Pleijweg,16,0,0,12,0,0,4,0,0,0,0,0,0
Corridor,16,0,0,8,0,8,0,0,0,0,0,0,0
E232,15,0,0,7,2,1,0,0,5,0,0,0,0
A16,14,0,10,0,0,4,0,0,0,0,0,0,0
Vestdijktunnel,14,0,0,4,0,2,4,2,2,0,0,0,0
N210,14,0,0,0,14,0,0,0,0,0,0,0,0
Fellenoordpad,14,0,0,4,0,2,4,2,2,0,0,0,0
E35,14,0,0,6,2,0,2,0,4,0,0,0,0
Vestdijk,14,0,0,4,0,2,4,2,2,0,0,0,0
Eindhovenseweg,14,0,4,4,2,2,2,0,0,0,0,0,0
Dorpsstraat,14,0,0,0,2,12,0,0,0,0,0,0,0
Vorstenbosscheweg,12,0,0,6,0,6,0,0,0,0,0,0,0
Correzelaan,12,0,0,6,2,2,0,0,2,0,0,0,0
Auvergnelaan,12,0,0,6,2,2,0,0,2,0,0,0,0
Mierloseweg,12,0,0,0,4,2,6,0,0,0,0,0,0
Savoiepad,12,0,0,6,2,2,0,0,2,0,0,0,0
Kanaaldijk-Zuid,12,0,0,2,2,2,4,2,0,0,0,0,0
Eekterweg,12,0,0,12,0,0,0,0,0,0,0,0,0
Spoordonkseweg,12,0,0,8,0,4,0,0,0,0,0,0,0
Oostelijke Randweg,12,0,0,6,0,6,0,0,0,0,0,0,0
N354,12,0,0,12,0,0,0,0,0,0,0,0,0
Koningshoeven,12,0,0,8,0,4,0,0,0,0,0,0,0
Vensedijk,12,0,2,8,0,0,0,2,0,0,0,0,0
Ring Tilburg,12,0,4,0,4,4,0,0,0,0,0,0,0
A9,10,0,0,0,4,0,6,0,0,0,0,0,0
Landsard,10,0,0,8,0,0,0,2,0,0,0,0,0
A35,10,0,0,8,0,0,2,0,0,0,0,0,0
N309,10,0,0,0,0,0,10,0,0,0,0,0,0
Erica,10,0,2,2,4,2,0,0,0,0,0,0,0
Winston Churchilllaan,10,0,0,6,0,0,4,0,0,0,0,0,0
18,10,0,0,0,0,2,0,2,0,4,0,2,0
corridor,10,0,0,0,0,2,0,2,0,4,0,2,0
9,10,0,0,0,0,2,0,2,0,4,0,2,0
Heemweg,10,0,0,6,0,0,0,4,0,0,0,0,0
Eisenhowerlaan,10,0,0,2,0,4,2,2,0,0,0,0,0
A270,10,0,0,2,0,4,2,2,0,0,0,0,0
Houtense brug,10,0,0,4,4,2,0,0,0,0,0,0,0
Greenport Bikeway - hoofdroute,10,0,0,0,10,0,0,0,0,0,0,0,0
Fietsrondje Geldrop-Mierlo,10,0,0,0,0,0,10,0,0,0,0,0,0
N270,10,0,0,2,0,4,2,2,0,0,0,0,0
Collse Hoefdijk,10,0,0,0,0,10,0,0,0,0,0,0,0
Gijzenrooiseweg,10,0,0,2,0,4,0,2,2,0,0,0,0
Geldropseweg,10,0,0,0,0,0,6,0,2,0,2,0,0
N375,9,0,0,0,0,9,0,0,0,0,0,0,0
Smits van Oyenlaan,8,0,0,2,0,2,2,2,0,0,0,0,0
Moorland,8,0,0,4,0,4,0,0,0,0,0,0,0
Heersdijk,8,0,0,4,0,4,0,0,0,0,0,0,0
Zanddreef,8,0,2,4,0,0,0,2,0,0,0,0,0
E233,8,0,0,0,4,0,0,0,4,0,0,0,0
Stratumsedijk,8,0,0,0,0,8,0,0,0,0,0,0,0
IJsseloordweg,8,0,0,6,0,0,2,0,0,0,0,0,0
Chartreslaan,8,0,0,4,0,0,4,0,0,0,0,0,0
Cuneraweg,8,0,0,0,0,6,0,0,0,2,0,0,0
Beekseweg,8,0,0,2,2,4,0,0,0,0,0,0,0
Jeroen Boschlaan,8,0,0,0,4,0,2,0,0,0,2,0,0
Nijmeegseweg,8,0,0,6,0,0,2,0,0,0,0,0,0
N325,8,0,0,6,0,0,2,0,0,0,0,0,0
Rembrandtlaan,8,0,0,4,0,4,0,0,0,0,0,0,0
Lieshoutseweg,8,0,0,4,0,4,0,0,0,0,0,0,0
Noordsingel,8,0,0,6,2,0,0,0,0,0,0,0,0
Anthony Fokkerweg,8,0,0,0,0,0,2,0,0,6,0,0,0
Tongerenseweg,8,0,0,0,0,0,8,0,0,0,0,0,0
Flight Lane,8,0,0,6,0,0,0,2,0,0,0,0,0
De Rijt,8,0,0,4,0,4,0,0,0,0,0,0,0
Dijkpad,8,0,0,4,0,4,0,0,0,0,0,0,0
Muggenberg,8,0,0,4,0,0,0,4,0,0,0,0,0
Sonniuswijk,8,0,0,4,0,4,0,0,0,0,0,0,0
Stationsweg,8,0,0,6,0,0,0,2,0,0,0,0,0
Gilzerbaan,8,0,0,0,0,8,0,0,0,0,0,0,0
Sluitappel,8,0,0,4,0,4,0,0,0,0,0,0,0
Kempenbaan,8,0,0,6,0,2,0,0,0,0,0,0,0
Brugstraat,8,0,0,6,0,0,2,0,0,0,0,0,0
Stichtse Brug,7,0,0,3,0,0,2,0,2,0,0,0,0
N384,7,0,0,7,0,0,0,0,0,0,0,0,0
Ring Almere,7,0,0,3,0,0,2,0,2,0,0,0,0
Stichtseweg,7,0,0,3,0,0,2,0,2,0,0,0,0
Oldenzaalsestraat,6,0,0,2,0,0,4,0,0,0,0,0,0
Doctor Cuyperslaan,6,0,0,2,0,2,0,0,2,0,0,0,0
Willem de Zwijgerweg,6,0,0,0,6,0,0,0,0,0,0,0,0
Lange Bunder,6,0,0,0,6,0,0,0,0,0,0,0,0
Stationsstraat,6,0,0,2,4,0,0,0,0,0,0,0,0
Fietsroute 9,6,0,0,4,0,2,0,0,0,0,0,0,0
Heerbaan,6,0,0,0,2,0,4,0,0,0,0,0,0
Graafseweg,6,0,2,0,4,0,0,0,0,0,0,0,0
Hoevense Kanaaldijk,6,0,0,4,0,2,0,0,0,0,0,0,0
Zandzwaluw,6,0,0,4,0,0,0,2,0,0,0,0,0
Oude Grintweg,6,0,0,4,0,2,0,0,0,0,0,0,0
Keizerweg,6,0,0,4,0,2,0,0,0,0,0,0,0
Torentjeshoeve,6,0,0,4,0,2,0,0,0,0,0,0,0
Oirschotsedijk,6,0,0,0,0,4,0,0,0,2,0,0,0
Kanaalweg,6,0,0,4,0,0,0,0,2,0,0,0,0
Kruisboog,6,0,0,4,0,2,0,0,0,0,0,0,0
Rootven,6,0,0,4,0,2,0,0,0,0,0,0,0
Gerwenseweg,6,0,0,0,2,4,0,0,0,0,0,0,0
Diessenseweg,6,0,0,0,0,6,0,0,0,0,0,0,0
Oirschotseweg,6,0,0,4,0,2,0,0,0,0,0,0,0
Almenumerweg,6,0,0,0,0,0,0,0,6,0,0,0,0
Leenderweg,6,0,0,0,0,4,0,2,0,0,0,0,0
Rochadeweg,6,0,0,0,0,0,6,0,0,0,0,0,0
Ringbaan-Oost,6,0,0,4,0,2,0,0,0,0,0,0,0
Beekweg,6,0,0,6,0,0,0,0,0,0,0,0,0
Ripseweg,6,0,0,6,0,0,0,0,0,0,0,0,0
Stad van Gerwen,6,0,0,2,2,2,0,0,0,0,0,0,0
Nieuwstraat,6,0,0,2,4,0,0,0,0,0,0,0,0
Heihoeksingel,6,0,0,6,0,0,0,0,0,0,0,0,0
Nuenenseweg,6,0,0,2,0,4,0,0,0,0,0,0,0
M A Reinaldaweg,6,0,0,0,6,0,0,0,0,0,0,0,0
M.A. Reinaldaweg,6,0,0,0,6,0,0,0,0,0,0,0,0
Nelson Mandelaplein,6,0,0,0,6,0,0,0,0,0,0,0,0
Weg der Verenigde Naties,6,0,0,0,6,0,0,0,0,0,0,0,0
C.G. Roosweg,6,0,0,0,6,0,0,0,0,0,0,0,0
A31,6,0,0,4,0,0,0,0,2,0,0,0,0
de Hooge Akker,6,0,0,2,0,2,0,2,0,0,0,0,0
Sonseweg,6,0,2,2,0,2,0,0,0,0,0,0,0
Bosscheweg,6,0,6,0,0,0,0,0,0,0,0,0,0
Broekstraat,6,0,0,2,0,0,2,2,0,0,0,0,0
Beekstraat,6,0,0,4,0,0,0,2,0,0,0,0,0
Oude Rijksweg,6,0,4,0,0,2,0,0,0,0,0,0,0
Poot van Metz,6,0,0,0,2,0,2,2,0,0,0,0,0
Insulindeplein,6,0,0,0,2,0,2,0,0,0,2,0,0
Greenport Bikeway,6,0,0,0,6,0,0,0,0,0,0,0,0
Hugo van der Goeslaan,6,0,0,0,2,0,2,0,0,0,2,0,0
IJsselweg,6,0,0,4,0,0,2,0,0,0,0,0,0
Barneveldseweg,6,0,0,0,0,0,0,0,6,0,0,0,0
Arkemheenweg,6,0,0,0,0,0,0,0,6,0,0,0,0
Hoogstraat,6,0,0,2,2,2,0,0,0,0,0,0,0
Ellecomsedijk,6,0,0,4,0,0,2,0,0,0,0,0,0
Park Forum,6,0,0,6,0,0,0,0,0,0,0,0,0
Veldmaarschalk Montgomerylaan,6,0,0,6,0,0,0,0,0,0,0,0,0
Ring Sneek,5,0,0,5,0,0,0,0,0,0,0,0,0
12,5,0,0,0,0,1,0,1,0,2,0,1,0
Spoor 2,5,0,0,0,2,0,1,0,1,0,0,0,1
8,5,0,0,0,0,1,0,1,0,2,0,1,0
11,5,0,0,0,0,1,0,1,0,2,0,1,0
Perron F,5,0,0,0,0,0,1,0,1,0,2,0,1
A348,4,0,0,2,0,0,2,0,0,0,0,0,0
Sliekstraat,4,0,0,2,0,0,2,0,0,0,0,0,0
Pasqualinistraat,4,0,0,0,4,0,0,0,0,0,0,0,0
Ploegstraat,4,0,2,0,0,0,0,0,0,0,2,0,0
Heilig Hartplein,4,0,0,2,0,2,0,0,0,0,0,0,0
Markt,4,0,0,2,0,2,0,0,0,0,0,0,0
De Hermey,4,0,0,2,0,2,0,0,0,0,0,0,0
Burgemeester de Kuijperlaan,4,0,0,2,0,2,0,0,0,0,0,0,0
Gasthuisstraat,4,0,0,2,0,2,0,0,0,0,0,0,0
F50,4,0,0,2,0,2,0,0,0,0,0,0,0
Geerbosch,4,0,0,2,0,2,0,0,0,0,0,0,0
Watersteeg,4,0,0,2,0,2,0,0,0,0,0,0,0
Kerkstraat,4,0,0,2,0,2,0,0,0,0,0,0,0
Heuvel,4,0,0,2,0,2,0,0,0,0,0,0,0
Nistelrodesedijk,4,0,0,2,0,2,0,0,0,0,0,0,0
Rozegaarderweg,4,0,0,2,0,0,2,0,0,0,0,0,0
Mauritsstraat,4,0,0,0,4,0,0,0,0,0,0,0,0
Abenhoefweg,4,0,0,2,0,2,0,0,0,0,0,0,0
Mac. Arthurweg,4,0,0,2,0,2,0,0,0,0,0,0,0
Sluisstraat,4,0,0,2,0,2,0,0,0,0,0,0,0
Waterdijk,4,0,0,4,0,0,0,0,0,0,0,0,0
Heezerweg,4,0,0,2,0,0,2,0,0,0,0,0,0
Nieuwendijk,4,0,0,2,0,0,2,0,0,0,0,0,0
Kadebrug,4,0,0,0,0,0,2,0,0,0,2,0,0
N301,4,0,0,0,0,0,0,0,4,0,0,0,0
Maatschappijweg,4,0,0,2,0,0,0,2,0,0,0,0,0
Weiersedreef,4,0,0,2,0,0,0,2,0,0,0,0,0
Pastoorsmast,4,0,0,2,0,0,0,2,0,0,0,0,0
Nijnselseweg,4,0,0,2,0,2,0,0,0,0,0,0,0
Eerschotsestraat,4,0,0,2,0,2,0,0,0,0,0,0,0
Veghelseweg,4,0,0,2,0,2,0,0,0,0,0,0,0
Taalstraat,4,0,4,0,0,0,0,0,0,0,0,0,0
Sterrebosweg,4,0,4,0,0,0,0,0,0,0,0,0,0
Dutmellapad,4,0,0,2,0,2,0,0,0,0,0,0,0
Bijenlaan,4,0,0,2,0,2,0,0,0,0,0,0,0
Rooijseweg,4,0,0,2,0,2,0,0,0,0,0,0,0
Paalgravenlaan,4,0,0,0,0,4,0,0,0,0,0,0,0
Berghemseweg,4,0,0,0,0,4,0,0,0,0,0,0,0
Schaapsteeg,4,0,0,0,0,0,0,0,0,4,0,0,0
Postkoetsweg,4,0,0,0,2,0,0,2,0,0,0,0,0
Bakelseweg,4,0,0,0,4,0,0,0,0,0,0,0,0
Kabroekstraat,4,0,0,0,4,0,0,0,0,0,0,0,0
Ringbaan-Zuid,4,0,0,2,0,2,0,0,0,0,0,0,0
Bredaseweg,4,0,0,0,0,4,0,0,0,0,0,0,0
Chaamseweg,4,0,0,0,0,4,0,0,0,0,0,0,0
Rouppe van der Voortlaan,4,0,0,0,0,4,0,0,0,0,0,0,0
Boslaan-Zuid,4,0,4,0,0,0,0,0,0,0,0,0,0
Verbindingsweg,4,0,0,0,0,0,0,0,4,0,0,0,0
Maxend,4,0,0,2,0,2,0,0,0,0,0,0,0
Laar,4,0,0,2,0,2,0,0,0,0,0,0,0
Weijen,4,0,0,2,0,2,0,0,0,0,0,0,0
Kleinwijk,4,0,0,0,0,4,0,0,0,0,0,0,0
Parallelweg,4,0,0,0,0,0,0,4,0,0,0,0,0
De Dreef,4,0,0,0,0,4,0,0,0,0,0,0,0
Genoenhuis,4,0,0,2,0,0,0,2,0,0,0,0,0
De Sandermannen,4,0,0,2,0,0,0,2,0,0,0,0,0
Oudenmolen,4,0,0,2,0,0,0,2,0,0,0,0,0
Rotonde De Ploeg,4,0,0,4,0,0,0,0,0,0,0,0,0
Nistelrodeseweg,4,0,0,4,0,0,0,0,0,0,0,0,0
Stadse Kanaaldijk,4,0,0,2,2,0,0,0,0,0,0,0,0
Achterbosch,4,0,0,2,2,0,0,0,0,0,0,0,0
Deense Hoek,4,0,0,2,2,0,0,0,0,0,0,0,0
Lange Dreven,4,0,0,2,2,0,0,0,0,0,0,0,0
Ringweg-Zuid,4,0,0,2,0,0,0,0,2,0,0,0,0
Ringweg-West,4,0,0,2,0,0,0,0,2,0,0,0,0
Eerste Coentunnel,4,0,0,2,0,0,0,0,2,0,0,0,0
Pastoor van Beijnenstraat,4,0,0,0,0,4,0,0,0,0,0,0,0
Gemertseweg,4,0,0,4,0,0,0,0,0,0,0,0,0
Zandstraat,4,0,0,2,2,0,0,0,0,0,0,0,0
Fluitekruid,4,0,0,4,0,0,0,0,0,0,0,0,0
De Kooy,4,0,0,4,0,0,0,0,0,0,0,0,0
Urkhovenseweg,4,0,0,0,0,0,4,0,0,0,0,0,0
N59,4,0,4,0,0,0,0,0,0,0,0,0,0
Langeweg,4,0,4,0,0,0,0,0,0,0,0,0,0
Oude Spoorweg,4,0,0,0,4,0,0,0,0,0,0,0,0
Wulverhorstbaan,4,0,0,0,4,0,0,0,0,0,0,0,0
Hoornse brug,4,0,0,2,0,0,0,0,2,0,0,0,0
Afsluitdijk,4,0,0,2,0,0,0,0,2,0,0,0,0
N31,4,0,0,2,0,0,0,0,2,0,0,0,0
Dazingstraat,4,0,4,0,0,0,0,0,0,0,0,0,0
A67,4,0,0,0,2,0,0,2,0,0,0,0,0
E34,4,0,0,0,2,0,0,2,0,0,0,0,0
N396,4,0,0,0,2,0,0,2,0,0,0,0,0
Randweg-Oost,4,0,0,0,0,0,0,4,0,0,0,0,0
N57,4,0,4,0,0,0,0,0,0,0,0,0,0
Beerseweg,4,0,0,0,0,4,0,0,0,0,0,0,0
Barcelona,4,0,0,0,0,4,0,0,0,0,0,0,0
Stönner-Meijwaardbrug,4,0,0,0,0,4,0,0,0,0,0,0,0
Waadseewei,4,0,0,2,0,0,0,0,2,0,0,0,0
Bosweg,4,0,2,0,0,2,0,0,0,0,0,0,0
de Maas,4,0,2,0,2,0,0,0,0,0,0,0,0
Munterstraat,4,0,0,0,4,0,0,0,0,0,0,0,0
Beemdstraat,4,0,0,0,0,0,4,0,0,0,0,0,0
Meiveld,4,0,0,2,0,0,0,2,0,0,0,0,0
Pleintjes,4,0,0,4,0,0,0,0,0,0,0,0,0
Burgemeester Brokxlaan,4,0,0,4,0,0,0,0,0,0,0,0,0
Papenvoortsedijk,4,0,0,0,4,0,0,0,0,0,0,0,0
Hortsedijk,4,0,0,0,4,0,0,0,0,0,0,0,0
Ringweg-Noord,4,0,0,2,0,0,0,0,2,0,0,0,0
Eikelkampen,4,0,0,0,4,0,0,0,0,0,0,0,0
Hooijdonk,4,0,0,0,2,0,2,0,0,0,0,0,0
Hooidonk,4,0,0,0,2,0,2,0,0,0,0,0,0
Wijchenseweg,4,0,0,0,4,0,0,0,0,0,0,0,0
Rueckertbaan,4,0,0,4,0,0,0,0,0,0,0,0,0
Science Park Eindhoven,4,0,0,0,0,0,0,2,2,0,0,0,0
A4,4,0,0,0,2,2,0,0,0,0,0,0,0
N656,4,0,0,0,0,4,0,0,0,0,0,0,0
Rondje Eindhoven - Aanrijdroute West,4,0,2,0,2,0,0,0,0,0,0,0,0
Armagnaclaan,4,0,0,0,0,0,0,0,0,4,0,0,0
Strijpsebaan,4,0,0,2,0,0,0,2,0,0,0,0,0
Houtwal,4,0,0,2,0,0,0,2,0,0,0,0,0
Traverse,4,0,0,2,0,0,0,2,0,0,0,0,0
N840,4,0,0,0,4,0,0,0,0,0,0,0,0
Botsestraat,4,0,0,0,4,0,0,0,0,0,0,0,0
C R Waiboerweg,4,0,0,0,4,0,0,0,0,0,0,0,0
Coentunnelweg,4,0,0,2,0,0,0,0,2,0,0,0,0
Bussele,4,0,0,0,0,0,4,0,0,0,0,0,0
Huizingalaan,4,0,0,2,0,0,2,0,0,0,0,0,0
Krabbenkreekweg,4,0,0,0,0,4,0,0,0,0,0,0,0
