attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00049,ret,2,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,WALK,0.41117000000000004,6.116666666666666,BUS,20.94264,34.0,WALK,3.19983,41.38333333333333,,,,,,,,,,,,,,,,,,,,,,,,,173.84999999999997,116.21985000000001
A00049,ret,1,CAR,91.97139,60.11666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.11666666666667,91.97139
A00050,ret,1,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,BUS,7.7365699999999995,18.0,WALK,0.72952,9.733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.53333333333333,19.94897
A00050,ret,1,BICYCLE,16.0415,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,16.0415
A00050,ret,1,CAR,19.5975,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05,19.5975
A00051,ret,1,CAR,101.85573,77.16666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.16666666666667,101.85573
A00052,ret,1,CAR,87.71095,64.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.33333333333333,87.71095
A00053,ret,1,WALK,13.37141,171.48333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.48333333333332,13.37141
A00053,ret,1,BICYCLE,14.26398,52.31666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.31666666666667,14.26398
A00053,ret,1,CAR,30.60152,21.016666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.016666666666666,30.60152
