attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00009,dep,4,WALK,0.040920000000000005,0.5166666666666667,BUS,6.720899999999999,22.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.28333333333333,16.32564
A00009,dep,1,BICYCLE,14.555549999999998,52.583333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.583333333333336,14.555549999999998
A00009,dep,1,CAR,15.230379999999998,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,15.230379999999998
A00010,dep,1,WALK,13.24458,168.81666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.81666666666666,13.24458
A00010,dep,2,WALK,0.35578,4.716666666666667,BUS,9.29887,28.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48333333333333,19.218470000000003
A00010,dep,3,WALK,1.15419,15.366666666666667,BUS,8.08263,24.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.13333333333333,18.80064
A00010,dep,4,WALK,0.35578,4.716666666666667,BUS,9.29887,28.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48333333333333,19.218470000000003
A00010,dep,1,BICYCLE,13.79461,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,13.79461
A00010,dep,1,CAR,16.09131,16.283333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.283333333333335,16.09131
A00011,dep,1,WALK,7.97039,102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,7.97039
A00011,dep,2,WALK,2.45917,31.8,BUS,3.42915,11.0,BUS,7.841069999999999,21.0,WALK,2.5835100000000004,33.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.56666666666666,16.3129
A00011,dep,3,WALK,2.45917,31.8,BUS,3.42915,13.0,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,17.39551
A00011,dep,4,WALK,3.2041,41.583333333333336,BUS,6.8680699999999995,11.0,WALK,0.10101,1.6166666666666667,BUS,4.3455699999999995,10.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.96666666666667,16.91773
A00011,dep,1,BICYCLE,8.430719999999999,30.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.066666666666666,8.430719999999999
A00011,dep,1,CAR,8.69745,8.883333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.883333333333333,8.69745
A00012,dep,1,WALK,2.51409,32.36666666666667,BUS,4.41877,17.0,WALK,0.16418000000000002,2.9833333333333334,RAIL,32.298880000000004,18.0,WALK,0.17565999999999998,2.6666666666666665,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,175.93333333333334,129.59611
A00012,dep,2,WALK,1.84611,23.666666666666668,BUS,5.43243,19.0,WALK,0.16418000000000002,2.9833333333333334,RAIL,32.298880000000004,18.0,WALK,0.17342,2.6333333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,169.2,129.93955
A00012,dep,3,WALK,2.51409,32.36666666666667,BUS,4.41877,17.0,WALK,0.16418000000000002,2.9833333333333334,RAIL,32.298880000000004,18.0,WALK,0.17565999999999998,2.6666666666666665,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,175.93333333333334,129.59611
A00012,dep,1,CAR,108.36739999999999,68.26666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.26666666666667,108.36739999999999
A00013,dep,1,CAR,111.43521000000001,75.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93333333333334,111.43521000000001
A00014,dep,1,WALK,2.1091100000000003,26.933333333333334,BUS,15.9223,30.0,WALK,0.2755,4.366666666666666,RAIL,43.2187,28.0,WALK,0.22147999999999998,3.0166666666666666,RAIL,32.07784,19.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,165.23333333333335,103.84649999999999
A00014,dep,1,BICYCLE,62.97385,219.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.45,62.97385
A00014,dep,1,CAR,62.23338,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.65,62.23338
A00015,dep,1,WALK,1.13061,14.883333333333333,BUS,25.05696,23.0,WALK,0.13393,2.05,RAIL,152.53244,96.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,241.78333333333336,269.07559000000003
A00015,dep,2,WALK,2.45925,31.85,BUS,25.9547,36.0,WALK,0.13393,2.05,RAIL,64.66882,38.0,WALK,0.26027,3.783333333333333,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,267.53333333333336,271.56224000000003
A00015,dep,3,WALK,1.13061,14.883333333333333,BUS,2.15394,5.0,WALK,0.06287,0.9166666666666666,BUS,25.9547,36.0,WALK,0.13393,2.05,RAIL,64.66882,38.0,WALK,0.26027,3.783333333333333,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,256.48333333333335,272.45041000000003
A00015,dep,1,CAR,212.48646,132.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.06666666666666,212.48646
A00016,dep,1,WALK,0.77195,9.966666666666667,BUS,4.643800000000001,12.0,WALK,0.27605,4.3,RAIL,32.07784,19.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,99.18333333333332,47.79121
A00016,dep,2,WALK,0.86136,11.15,BUS,5.56871,17.0,WALK,0.27605,4.3,RAIL,32.07784,19.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,100.39999999999999,50.74907
A00016,dep,1,BICYCLE,31.84351,112.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66666666666667,31.84351
A00016,dep,1,CAR,30.927130000000002,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,30.927130000000002
A00017,dep,1,WALK,0.65737,8.516666666666667,BUS,4.68655,16.0,WALK,0.27055,3.9166666666666665,RAIL,58.30546,38.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,120.35000000000001,73.94166999999999
A00017,dep,2,WALK,1.38345,17.9,BUS,3.2191199999999998,10.0,BUS,1.2442,4.0,WALK,0.27055,3.9166666666666665,RAIL,58.30546,38.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,127.73333333333333,74.44452
A00017,dep,1,BICYCLE,51.90176,180.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5,51.90176
A00017,dep,1,CAR,49.79694,38.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.733333333333334,49.79694
