attendee_id,direction,routes_used
A01741,departure,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity']"
A01741,return,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity']"
A01767,departure,"['Dedemsvaart - Zwolle 301', 'Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A01810,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A01883,departure,"['Enkhuizen <-> Heerlen IC3900 Intercity', 'Sittard via Geleen en Beek / Stein - Sittard. 33', 'Son - Ekkersrijt - Eindhoven Station 406']"
A01908,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A01941,departure,['Best Station - Eindhoven Station 9']
A01941,return,['Best Station - Eindhoven Station 9']
A01966,departure,['Best Station - Eindhoven Station 9']
A01978,departure,"['Enkhuizen <-> Maastricht IC2900 Intercity', 'Maastricht via Epen - Gulpen 57', 'Son - Ekkersrijt - Eindhoven Station 406']"
A02009,departure,"['Assen - Dieverbrug - Steenwijk 20', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A02015,departure,['Best Station - Eindhoven Station 9']
A02015,return,['Best Station - Eindhoven Station 9']
A02038,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Stadskanaal - Emmen 74', 'Zwolle <-> Emmen ST8000 Stoptrein RS20']"
A02042,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Heerenveen - Sneek - Bolsward - Harlingen 99', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A02071,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Enschede SPR7900 Sprinter RS23']"
A02084,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Station Ede-Wageningen - Putten 107', 'Utrecht Centraal <-> Zwolle SPR5600 Sprinter']"
A02121,departure,"['Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Vlissingen <-> Amsterdam Centraal IC2200 Intercity']"
A02215,departure,['Best Station - Eindhoven Station 9']
A02224,departure,"['Amsterdam Amstelstation - Hilversum 320', 'Den Helder <-> Nijmegen IC3000 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A02251,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A02305,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'Rockanje via Hellevoetsluis - Spijkenisse 404', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Zwolle <-> Roosendaal IC3600 Intercity', 'lijn D']"
A02324,departure,['Best Station - Eindhoven Station 9']
A02347,departure,['Best Station - Eindhoven Station 9']
A02347,return,['Best Station - Eindhoven Station 9']
A02354,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A02354,return,['Best Station - Eindhoven Station 9']
A02360,departure,['Best Station - Eindhoven Station 9']
A02370,departure,"['Amsterdam Amstelstation - Hilversum 320', 'Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', ""Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer""]"
A02403,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A02403,return,['Best Station - Eindhoven Station 9']
A02447,departure,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Heerlen IC3900 Intercity', 'Sittard Station via Baandert - Kemperkoul 1']"
A02517,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'Nieuw-Vennep - Hillegom - Noordwijk - Leiden 22', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Vlissingen <-> Amsterdam Centraal IC2200 Intercity', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A02676,departure,"['Apeldoorn <-> Winterswijk S30400 Sneltrein RE30', 'Best Station - Eindhoven Station 9', 'Borculo - Doetinchem 23', 'Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity']"
A02718,departure,['Best Station - Eindhoven Station 9']
A02728,departure,['Best Station - Eindhoven Station 9']
A02728,return,['Best Station - Eindhoven Station 9']
A02760,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A02878,departure,['Best Station - Eindhoven Station 9']
A02878,return,['Best Station - Eindhoven Station 9']
A02888,departure,"[""'s-Gravenzande via Naaldwijk en Delft - Zoetermeer 455"", 'Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A02912,departure,['Best Station - Eindhoven Station 9']
A02935,departure,['Best Station - Eindhoven Station 9']
A02935,return,['Best Station - Eindhoven Station 9']
A02966,departure,"['Alkmaar - Afsluitdijk - Leeuwarden 350', 'Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Hoorn Station - Den Helder Station via Den Oever 135']"
A02976,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Emmen - Klazienaveen - Zwartemeer 93', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Emmen ST8000 Stoptrein RS20']"
A02984,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Vegelinsoord - Heerenveen Busstation 8411']"
A02986,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A02992,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'Carnisselande - Rotterdam Centraal 5', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A03060,departure,"['Best Station - Eindhoven Station 9', 'Middelburg - Koudekerke - Vlissingen 56', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Vlissingen <-> Amsterdam Centraal IC2200 Intercity', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A03098,departure,"['Assen - Groningen 51', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03101,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Ommen - Almelo 81', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Emmen ST8000 Stoptrein RS20']"
A03140,departure,"['Almere Centrum <-> Utrecht Centraal SPR4900 Sprinter', 'Amsterdam Amstelstation - Hilversum 320', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03144,departure,"['Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Overdinkel - Enschede 61', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03265,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A03265,return,['Best Station - Eindhoven Station 9']
A03288,departure,['Best Station - Eindhoven Station 9']
